Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month
2006-08-21 20:02,1156158174,shw,42.194099,38.04,102.639732,13.42,6870000000,7420000000,13.41,11.61,1.13,0.91,3.49,0.98,7.321,6.92,11.38,11.39,28.53,7590000000,56.157,8.4,3080000000,1010000000,525010000,3.78,20.5,248640000,1.831,789030000,0.401,1.174,14.509,850870000,491410000,1.19,48.7,48.92,998326,135770000,112240000,0.82,71.7,3100000,4.3,2.3,3260000
2007-03-19 7:36,1174257413,shw,56.128098,-17.38,112.130585,-3.31,8830000000,9650000000,15.67,13.19,1.24,1.13,4.41,1.24,9.004,7.38,11.48,12.36,30.95,7810000000,58.465,4.9,3410000000,1070000000,576060000,4.19,31.3,490370000,3.647,874510000,0.439,1.181,14.917,815840000,443190000,1.15,67.68,61.58,985777,134450000,111150000,17.74,72.7,4520000,5.3,3.5,4480000
2007-04-06 8:21,1175815270,shw,55.429123,-15.06,115.361717,-3.25,8850000000,9660000000,15.69,13.14,1.24,1.13,4.41,1.24,9.011,7.38,11.48,12.36,30.95,7810000000,58.465,4.9,3410000000,1070000000,576060000,4.19,31.3,490370000,3.647,874510000,0.439,1.181,14.917,815840000,443190000,1.32,66.91,63.05,1020610,134450000,111150000,17.74,72.7,7560000,6.1,5.8,4520000
2007-05-29 12:08,1180408130,shw,56.90844,-14.36,121.760048,-6.72,8820000000,9730000000,15.9,13.46,1.18,1.13,5.83,1.25,9.015,7.36,11.53,11.66,30.56,7800000000,58.755,-0.7,3410000000,1080000000,574190000,4.21,-1.6,299840000,2.273,1030000000,0.54,1.133,11.474,807050000,428560000,1.09,65.72,65.27,1161380,131890000,109030000,17.74,72.3,7250000,7.4,5.5,7560000
2013-05-14 10:23,1368494597,shw,183.624863,4.19,150.130219,16.73,19140000000,20520000000,30.36,20.18,1.76,2,10.56,2.15,17.72,6.76,10.21,10.5,38.96,9570000000,94.07,1.4,4210000000,1160000000,642030000,6.18,15.9,613930000,6.02,1700000000,93.98,1.73,17.78,951590000,782980000,0.58,176.52,162.61,773521,101960000,86510000,16.92,72.8,2170000,2.5,2.5,1770000
2011-09-04 2:50,1315072258,siri,1.668388,47.09,103.102608,22.32,6440000000,8940000000,41.95,21.5,0.84,2.26,13.33,3.06,10.12,8.13,21.01,5.29,70.4,2920000000,0.79,6.4,1300000000,883450000,237620000,0.04,1034.9,528330000,0.14,3020000000,611.58,0.45,0.13,585400000,423590000,2.32,1.93,1.96,89184200,3750000000,3680000000,0.7,34.2,261840000,2.7,6.8,295980000
2011-11-03 17:00,1320307258,siri,1.600488,75.76,111.022919,14.53,6180000000,8790000000,40.24,20.62,0.96,2.15,12.73,3.01,9.95,8.13,21.01,5.29,70.4,2920000000,0.79,6.4,1300000000,883450000,237620000,0.04,1034.9,528330000,0.14,3020000000,611.58,0.45,0.13,585400000,423590000,1.78,1.7,1.94,84340400,3750000000,3680000000,0.7,34.2,252300000,2.9,6.5,265830000
2011-11-18 13:53,1321592029,siri,1.726587,51.12,107.267929,14.19,6520000000,8950000000,43.5,21.75,0.8,2.2,10.61,3.02,9.72,9.24,22.01,5.61,62.02,2970000000,0.79,6.3,1300000000,920550000,274180000,0.04,54.1,604590000,0.16,3030000000,492.86,0.48,0.16,550480000,428350000,1.78,1.68,1.92,74793600,3750000000,3680000000,0.7,34.2,276980000,4.3,7.1,252300000
2012-07-15 7:47,1342306041,siri,1.988485,81.82,121.285904,26.64,7790000000,10000000000,25.62,18.64,1.25,2.54,9.22,3.23,10.24,14.75,22.98,6.04,79.54,3100000000,0.83,11.2,1460000000,976780000,456610000,0.08,38,746580000,0.2,2960000000,348.01,0.6,0.22,565470000,466960000,1.64,1.92,2.1,50308300,3800000000,3340000000,4.04,50.4,289950000,8.8,7.8,298260000
2012-11-14 6:23,1352841784,siri,2.61898,41.06,122.095016,34.77,14530000000,16350000000,5.48,27.9,0.18,4.4,3.47,4.97,15.14,102.87,24.7,6.17,142.01,3290000000,0.86,13.7,1460000000,1080000000,2220000000,0.51,-28.5,556270000,0.11,2430000000,58.58,0.81,0.8,728530000,-120750000,1.6,2.75,2.32,70011900,5210000000,3210000000,37.85,39,297870000,3.5,8.1,274890000
2012-11-18 16:58,1353225485,siri,2.609281,42.35,122.490219,34.45,14010000000,15890000000,5.28,26.9,0.18,4.19,3.31,4.82,14.71,102.87,24.7,6.17,142.01,3290000000,0.86,13.7,1460000000,1080000000,2220000000,0.51,-28.5,556270000,0.11,2430000000,58.58,0.81,0.8,728530000,-120750000,1.6,2.77,2.33,70421900,5210000000,3200000000,37.85,39,297870000,3.5,8.1,274890000
2013-01-29 18:59,1359453546,siri,3.091888,14.7,136.285583,20.09,16300000000,18280000000,6.15,28.45,0.21,4.98,3.94,5.55,16.93,102.87,24.7,6.17,142.01,3290000000,0.86,13.7,1460000000,1080000000,2220000000,0.51,-28.5,556270000,0.11,2430000000,58.58,0.81,0.8,728530000,-120750000,1.66,3.01,2.67,67801200,5210000000,1820000000,37.85,39,379000000,5.5,10.3,355430000
2013-04-23 20:34,1366716895,siri,3.072131,1.93,143.361069,21.2,20400000000,21660000000,6.09,23.92,1.05,5.83,3.94,6.37,19.02,102.08,25.63,6.59,146.41,3400000000,0.81,13.9,1700000000,1140000000,2320000000,0.51,119,520950000,0.08,2440000000,60.28,0.79,0.77,806770000,-91950000,2.06,3.1,2.98,47725400,6560000000,3170000000,31.93,29.2,389820000,7.8,10.6,399790000
